"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"TWM",240328,-0.75,-4.8,-7.25,-34.74,-10.03,"Weak","Mkt Perform","240327","-",1,-47.82,-0.08,"","","-","","",1,10.56,10.61,10.92,11.77,-8.54,-4.54,-7.17,13.01,11.06,,
"DXD",240328,0,-1.35,-9.12,-30.37,-9.28,"Weak","Mkt Perform","240327","-",1,-74.29,0,"","","-","","",26,30.79,30.55,31.28,32.57,-5.64,-4.67,-4.29,33.67,31.61,,
"SDS",240328,-0.08,-0.56,-16.48,-40.33,-17.01,"Weak","Mkt Perform","240328","-",1,-41.96,-0.02,"","","-","","",26,24.84,24.69,25.2,26.28,-5.95,-5.59,-6.76,29.16,26.36,,
"QID",240328,0.62,1.41,-14.61,-51.49,-15.41,"Mkt Perform","Weak","240325","+",5,-47.72,0.05,"","","-","","",26,8.86,8.72,9.04,9.53,-5.92,-3.6,-3.49,10.24,9.22,,
"mzz",240328,-1.05,-3.69,-15.06,-35.86,-16.55,"Weak","Mkt Perform","240327","-",1,-66.26,-0.11,"","","-","","",1,10.6,10.72,10.76,11.65,-8.85,-6.94,-10.56,13.26,11.73,,
"TZA",240328,-0.91,-7.27,-11.84,-48.75,-15.86,"Weak","Mkt Perform","240327","-",1,-0.87,-0.16,"","","-","","",1,16.94,17.11,17.87,19.81,-12.71,-6.91,-10.95,23.42,18.15,,
"DOG",240328,0,-0.56,-4.48,-16.31,-4.61,"Weak","Mkt Perform","240327","-",1,-64.25,0,"","","-","","",26,28.32,28.19,28.54,29.3,-3.41,-3.21,-2.55,29.7,28.81,,
"MYY",240328,-0.42,-1.76,-7.49,-19.61,-8.33,"Weak","Mkt Perform","240327","-",1,-41.33,-0.08,"","","-","","",1,19.75,19.85,19.89,20.69,-4.62,-3.6,-5.63,22.09,20.8,,
"SH",240328,0.04,-0.21,-8.38,-22.47,-8.74,"Mkt Perform","Weak","240325","-",5,-70.69,0.01,"","","-","","",26,11.85,11.81,11.94,12.25,-3.38,-3.15,-3.7,12.85,12.24,,
"PSQ",240328,0.11,0.69,-7.1,-29.86,-7.59,"Mkt Perform","Weak","240325","+",5,-49.93,0.01,"","","-","","",26,8.71,8.64,8.8,9.06,-3.31,-2.01,-1.9,9.34,8.89,,
"SPXU",240328,0.08,-0.84,-24.24,-54.92,-24.94,"Weak","Mkt Perform","240327","-",1,-62.09,0,"","","-","","",26,6.45,6.4,6.6,7.03,-8.7,-8.31,-10.1,8.26,7.07,,
"SRTY",240328,-1.17,-7.18,-12.11,-49.95,-16.18,"Weak","Mkt Perform","240327","-",1,-31.91,-0.3,"","","-","","",1,25.59,25.85,26.99,30.28,-12.81,-7.01,-11.15,35.44,27.44,,
"SQQQ",240328,0.67,1.85,-21.1,-67.03,-22.16,"Mkt Perform","Weak","240325","+",5,-58.43,0.07,"","","-","","",26,10.28,10.05,10.62,11.37,-7.83,-4.47,-4.73,12.73,10.84,,
"SMDD",240328,-2.08,-6.33,-23.39,-51.57,-25.24,"Weak","Mkt Perform","240327","-",1,-86.72,-0.21,"","","-","","",1,10.28,10.45,10.46,11.59,-12.56,-10.09,-15.41,14.38,11.89,,
"SDOW",240328,0.06,-1.99,-14.01,-42.97,-14.19,"Weak","Mkt Perform","240327","-",1,-48.7,0.01,"","","-","","",26,15.77,15.58,16.15,17.24,-8.68,-8.47,-6.74,18.14,16.49,,
"FXP",240328,-2.51,-3.31,-6.42,19.59,-5.08,"Weak","Mkt Perform","240327","-",1,-86.18,-0.96,"","","+","","",3,38.14,37.1,38.8,38.6,-0.83,-5.63,-6.3,48.7,36.83,,
"EFU",240328,0.29,-0.53,-11.16,-27.06,-11.16,"Weak","Mkt Perform","240327","-",5,-90.53,0.02,"","","-","","",1,7.5,7.51,7.71,7.79,-3.15,-2.4,-8,8.78,8.03,,
"EUM",240328,-0.46,-0.5,-1.59,-6.22,-1.38,"Weak","Mkt Perform","240328","-",1,-66.44,-0.06,"","","-","","",33,14.02,13.84,14.06,14.27,-1.48,-1.1,-2.99,14.89,14.14,,
"EPV",240328,0.39,-1.14,-9.19,-27.08,-9.08,"Weak","Mkt Perform","240327","-",5,-88.61,0.03,"","","-","","",1,7.78,7.82,7.87,8.14,-2.38,-2.98,-7.68,9.19,8.36,,
"DPK",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"EDZ",240328,-1.05,-1.33,-5.19,-18.42,-5.02,"Weak","Mkt Perform","240328","-",1,-57.15,-0.11,"","","-","","",39,10.52,10.14,10.65,10.88,-3.43,-2.8,-8.6,12.7,10.77,,
"SRS",240328,-0.81,-4,4.65,-21.88,2.56,"Weak","Mkt Perform","240327","-",1,-23.19,-0.12,"","","-","","",1,14.76,14.74,15.34,15.48,-3.87,2,-3.3,16.73,14.95,,
"SKF",240328,-0.92,-2.91,-19.14,-42.58,-19.55,"Weak","Mkt Perform","240327","-",1,-30.46,-0.11,"","","-","","",1,11.94,11.86,12.15,12.78,-7.39,-8.04,-8.75,14.33,12.88,,
